"Views","Show View (Outline)","Shift+Alt+Q O","In Windows"
"Text Editing","Pop Tag Mark","Esc Shift+8","Editing Text"
"Text Editing","Backward Word","Alt+B","Editing Text"
"Edit","Delete","Delete","In Windows"
"Text Editing","Backward Word","Shift+Alt+B","Editing Text"
"Text Editing","End Line","Shift+Ctrl+E","Editing Text"
"Text Editing","Set Mark","Ctrl+2","Editing Text"
"Text Editing","Recenter","Ctrl+L","Editing Text"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"Run/Debug","Toggle Breakpoint","Shift+Ctrl+B","In Windows"
"Text Editing","Describe Help Commands","Ctrl+H ?","Editing Text"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Text Editing","Jump to Register","Ctrl+X J","Editing Text"
"Navigate","Open Type","Shift+Ctrl+T","In Windows"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","In Windows"
"Text Editing","Begin Buffer","Esc <","Editing Text"
"Task","Mark Task Read and Go To Next Unread Task","Shift+Alt+Down","In Tasks View"
"Text Editing","To Upper Case","Shift+Ctrl+X","Editing Text"
"Edit","Matching Tag","Shift+Ctrl+>","Editing in Structured Text Editors"
"Text Editing","Count Lines Region","Alt+=","Editing Text"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Edit","Next Sibling","Shift+Ctrl+Down","Editing in Structured Text Editors"
"Navigate","Next","Ctrl+.","In Windows"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"gazonk.del","Kill Line","Ctrl+K","In Console View"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text"
"Text Editing","Line Up","Ctrl+P","Editing Text"
"Views","Show View (Task List)","Shift+Alt+Q K","In Windows"
"Text Editing","Query Replace Regexp","Shift+Ctrl+Alt+5","Editing Text"
"Window","Next Editor","Ctrl+F6","In Windows"
"Edit","Occurrences in File","Shift+Ctrl+A","Editing in Structured Text Editors"
"Refactor - Java","Show Refactor Quick Menu","Shift+Alt+T","In Windows"
"Text Editing","Uppercase","Alt+U","Editing Text"
"Text Editing","Narrow To Region","Ctrl+X N N","Editing Text"
"Text Editing","Kbd Macro Call","Ctrl+X Ctrl+K K","Editing Text"
"Text Editing","Previous Word","Alt+B","Editing Text"
"Navigate","Forward History","Ctrl+X Ctrl+Right","In Windows"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"Run/Debug","Step Into","Ctrl+C Ctrl+S","Debugging"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"Text Editing","Forward Character","Right","Editing Text"
"Text Editing","Scroll Other Window Down","Alt+PageUp","Editing Text"
"Run/Debug","Debug Java Application","Shift+Alt+D J","In Windows"
"Text Editing","Describe Command","Ctrl+H F","Editing Text"
"Navigate","Next","Alt+,","In Windows"
"Focused UI","Make Less Interesting","Shift+Ctrl+Alt+Down","In Windows"
"Text Editing","Scroll Other Window","Ctrl+Alt+V","Editing Text"
"Project","Build All","Ctrl+B","In Windows"
"Source","Add Block Comment","Shift+Ctrl+/","Editing Java Source"
"Text Editing","Backward Character","Shift+Ctrl+B","Editing Text"
"Text Editing","Insert Register","Ctrl+X G","Editing Text"
"Text Editing","Forward Word","Ctrl+Right","Editing Text"
"File","New","Ctrl+N","In Windows"
"Window","Show System Menu","Alt+-","In Windows"
"Text Editing","Universal Argument","Ctrl+Alt+-","Editing Text"
"Views","Show View (History)","Shift+Alt+Q Z","In Windows"
"Text Editing","Goto Line","Alt+G","Editing Text"
"Text Editing","Begin Line","Home","Editing Text"
"Edit","Redo","Ctrl+X R","In Windows"
"Run/Debug","Display","Shift+Ctrl+V","In Dialogs and Windows"
"Text Editing","Other Window","Ctrl+X O","In Windows"
"Window","Switch to Editor","Shift+Ctrl+E","In Windows"
"Search","Declaration in Workspace","Ctrl+G","In Windows"
"Run/Debug","Step Over","Ctrl+C Ctrl+N","Debugging"
"Text Editing","Pop Tag Mark","Alt+*","Editing Text"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"Text Editing","End Buffer","Alt+>","Editing Text"
"Text Editing","Universal Argument","Ctrl+Alt+8","Editing Text"
"Text Editing","End Buffer","Esc Shift+.","Editing Text"
"Edit","Undo","Ctrl+/","In Windows"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"Source","Format","Shift+Ctrl+F","Editing Ant Buildfiles"
"Text Editing","Scroll Line Up","Esc Z","Editing Text"
"Text Editing","Cut to End of Line","Ctrl+K","Editing Text"
"File","Properties","Alt+Enter","In Windows"
"Text Editing","Universal Argument","Alt+1","Editing Text"
"Run/Debug","Resume","Ctrl+C Ctrl+R","Debugging"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"Source","Surround With Quick Menu","Shift+Alt+Z","In Windows"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
